book_id,books_count,isbn,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
1382,4,345373944,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",1989,Anne Rice's The Vampire Lestat: The Graphic Novel,Anne Rice's The Vampire Lestat: A Graphic Novel,en-GB,4.17,61842,661,1946,11282,20032,27982
1383,34,747571775,"Louis Sachar, Adam McCauley",1978,,Sideways Stories from Wayside School (Wayside School #1),eng,4.14,74121,1258,3088,14298,24342,35041
1384,94,1573221112,"Dalai Lama XIV, Howard C. Cutler",1998,The Art of Happiness: A Handbook for Living,The Art of Happiness,eng,4.14,61498,895,2240,11259,22402,27619
1385,60,1400065674,David Mitchell,2014,The Bone Clocks,The Bone Clocks,eng,3.81,53151,2353,4849,14146,25148,18714
1386,38,385333137,Anna Quindlen,1998,Black and Blue,Black and Blue,eng,3.86,67753,792,3688,18693,27754,18746
1387,37,62003933,"L.J. Smith, Kevin Williamson, Julie Plec",2010,,"Origins (The Vampire Diaries: Stefan's Diaries, #1)",en-US,4.1,59715,2206,3884,10829,12969,31000
1388,101,385339682,John Grisham,2004,The Last Juror,The Last Juror,eng,3.85,63114,606,3118,19000,26907,17324
1389,59,1400032814,Chuck Palahniuk,2003,Diary,Diary,eng,3.6,58428,1633,6299,19618,21016,12803
1390,48,312985347,Janet Evanovich,2005,Eleven on Top,"Eleven on Top (Stephanie Plum, #11)",en-US,4.15,84363,274,1975,17144,34202,35258
1391,82,439554004,"Cornelia Funke, Anthea Bell",2005,Tintenblut,"Inkspell (Inkworld, #2)",eng,3.91,82291,1682,5597,21565,32140,29324
1392,16,743236017,Chuck Klosterman,2003,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",en-US,3.75,56548,1756,4741,14755,21605,15010
1393,157,316926345,Evelyn Waugh,1945,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,eng,3.99,69087,1543,4150,15441,27191,27921
1394,33,451461401,Jim Butcher,2007,White Night,"White Night (The Dresden Files, #9)",en-US,4.41,73534,109,558,7558,30249,41965
1395,98,62306812,Jessie Burton,2014,The Miniaturist,The Miniaturist,eng,3.58,56344,2490,7022,22942,26801,13683
1396,69,786915749,"Margaret Weis, Tracy Hickman",1984,Dragons of Autumn Twilight,"Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",en-US,4.03,76219,2258,3971,15654,26532,32441
1397,79,786849568,Eoin Colfer,2006,The Lost Colony,"The Lost Colony (Artemis Fowl, #5)",en-US,4.01,103844,2469,4725,22169,38160,40493
1398,52,1416951172,Scott Westerfeld,2006,Extras,"Extras (Uglies, #4)",en-US,3.59,85873,3389,10946,27336,27149,21960
1399,73,399244557,John Flanagan,2005,The Burning Bridge,"The Burning Bridge (Ranger's Apprentice, #2)",en-US,4.28,74156,629,1847,11085,26331,39127
1400,54,670025593,Deborah Harkness,2014,The Book of Life,"The Book of Life (All Souls Trilogy, #3)",eng,4.15,63027,865,3154,13131,27271,33781
1401,72,1585421464,Julia Cameron,1992,The Artist's Way: A Spiritual Path to Higher Creativity,The Artist's Way: A Spiritual Path to Higher Creativity,eng,3.89,66049,4362,4667,12282,19762,27056
1402,13,067084487X,"Jon Scieszka, Lane Smith",1992,The Stinky Cheese Man and Other Fairly Stupid Tales,The Stinky Cheese Man and Other Fairly Stupid Tales,eng,4.2,78487,1304,3111,13104,22685,38924
1403,8,61147958,Joe Hill,2009,Horns,Horns,en-US,3.92,66287,1490,3986,16998,31102,23029
1404,33,679456724,Robert K. Massie,2011,Catherine the Great: Portrait of a Woman,Catherine the Great: Portrait of a Woman,en-CA,3.91,66591,3282,3485,13328,25533,24133
1405,82,385528779,Margaret Atwood,2009,The Year of the Flood,"The Year of the Flood  (MaddAddam, #2)",eng,4.05,68597,743,2970,14154,33112,26180
1406,56,312364121,Kristin Hannah,2009,Winter Garden,Winter Garden,en-GB,4.13,66577,863,2603,12545,28571,30133
1407,111,385339658,John Grisham,2003,The King of Torts,The King of Torts,eng,3.67,61835,1244,5632,21215,22824,14419
1408,57,316067598,"Marcus Luttrell, Patrick Robinson",2006,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,eng,4.34,46551,752,1742,6835,17239,32492
1409,18,,Chetan Bhagat,2008,The 3 Mistakes of My Life,The 3 Mistakes of My Life,eng,2.97,53331,5980,12683,19012,11196,5923
1410,296,1579126278,Agatha Christie,1926,The Murder of Roger Ackroyd,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",eng,4.2,71354,366,2006,14337,31542,36289
1411,103,006083756X,Richard Wright,1940,Native Son ,Native Son,eng,3.96,66194,1828,3920,14032,25876,24378
1412,38,316033650,Brent Weeks,2008,Shadow's Edge,"Shadow's Edge (Night Angel, #2)",en-US,4.27,66390,434,1701,9473,25851,33188
1413,57,1907411054,Veronica Rossi,2011,Under the Never Sky,"Under the Never Sky (Under the Never Sky, #1)",en-GB,4.01,74029,2732,4772,17161,34217,35431
1414,94,044669651X,Nicholas Sparks,2003,True Believer,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",en-US,3.8,62840,1397,5007,19130,22451,19640
1415,47,307887898,Eric Ries,2011,The Lean Startup‎,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,en-US,4.04,86284,2814,4154,15708,31854,36127
1416,35,1595143181,Richelle Mead,2012,The Golden Lily,"The Golden Lily (Bloodlines, #2)",en-US,4.36,86929,688,1779,10687,29356,49277
1417,89,743290119,Lauren Weisberger,2008,Chasing Harry Winston,Chasing Harry Winston,eng,3.32,63342,3964,10309,23393,17306,10927
1418,55,345335457,David Eddings,1983,Magician's Gambit,"Magician's Gambit (The Belgariad, #3)",,4.13,69616,635,2441,13588,26335,29821
1419,18,785136207,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",2009,,The Stand: Captain Trips,eng,4.43,57279,747,1162,5837,14861,35367
1420,1,671728687,William L. Shirer,1960,The Rise and Fall of the Third Reich: A History of Nazi Germany,The Rise and Fall of the Third Reich: A History of Nazi Germany,eng,4.15,64391,1201,2344,11463,23137,29859
1421,89,1594481938,Nick Hornby,2005,A Long Way Down,A Long Way Down,eng,3.41,59843,2135,8570,25521,22277,9173
1422,35,439706408,"Jeff Smith, Steve Hamaker",1993,Out from Boneville,"Out from Boneville (Bone, #1)",eng,4.16,62330,1652,2967,10427,16827,31203
1423,123,340640146,Stephen King,1995,Rose Madder,Rose Madder,eng,3.66,70921,2065,8052,23483,22705,19946
1424,98,515142247,Lee Child,1998,"Die Trying (Jack Reacher, #2)","Die Trying (Jack Reacher, #2)",en-US,4,62128,428,2354,15935,32853,22094
1425,60,316123528,"Kami Garcia, Margaret Stohl, Paz Pruneda",2011,Beautiful Chaos,"Beautiful Chaos (Caster Chronicles, #3)",en-US,3.95,69709,1505,4994,18812,27022,29159
1426,50,60878061,Jodi Picoult,1999,Keeping Faith,Keeping Faith,,3.79,62405,1023,4612,19883,26392,17348
1427,83,61147931,Joe Hill,2007,Heart-Shaped Box,Heart-Shaped Box,en-US,3.82,65005,1652,5086,18820,28529,20496
1428,77,1419702238,Jeff Kinney,2010,Cabin Fever,"Cabin Fever (Diary of a Wimpy Kid, #6)",eng,4.21,63347,1409,3029,10671,17456,35433
1429,39,316033669,Brent Weeks,2008,,"Beyond the Shadows (Night Angel, #3)",eng,4.29,64961,509,1891,9044,23347,34148
1430,85,1416543007,Lauren Weisberger,2005,Everyone Worth Knowing,Everyone Worth Knowing,en-US,3.39,59932,2679,9025,22634,17978,10564
1431,86,1862301387,Brian Jacques,1986,Redwall,"Redwall (Redwall, #1)",eng,4.11,73918,1120,2911,15209,29384,33140
1432,983,140447571,"Karl Marx, Friedrich Engels, Gareth Stedman Jones",1848,Manifest der Kommunistischen Partei,The Communist Manifesto,eng,3.51,56464,3561,8413,22295,20537,15271
1433,37,1501132938,Ruth Ware,2016,The Woman in Cabin 10,The Woman in Cabin 10,eng,3.67,90541,2029,8795,33879,43732,21386
1434,1056,553213296,James Fenimore Cooper,1826,The Last of the Mohicans: A Narrative of 1757,The Last of the Mohicans (The Leatherstocking Tales #2),eng,3.69,67632,3038,6975,19690,24157,20052
1435,118,679736379,William Styron,1979,Sophie's Choice,Sophie's Choice,eng,4.18,66923,1244,2666,10630,23727,32810
1436,89,044024191X,Sophie Kinsella,2004,Shopaholic and Sister,"Shopaholic and Sister (Shopaholic, #4)",eng,3.64,69007,1277,6964,25200,23997,16302
1437,44,373210132,Julie Kagawa,2010,The Iron Daughter,The Iron Daughter,eng,4.13,93340,1505,4105,17023,31360,42806
1438,36,1576737330,Bruce H. Wilkinson,2000,The Prayer of Jabez:  Breaking Through to the Blessed Life,The Prayer of Jabez:  Breaking Through to the Blessed Life,eng,3.92,57468,2961,4213,11797,14888,24197
1439,87,812983602,Karen Thompson Walker,2012,The Age of Miracles,The Age of Miracles,eng,3.64,61296,1574,6625,22105,27557,13932
1440,52,786868724,Mitch Albom,2009,Have a Little Faith: A True Story,Have a Little Faith: a True Story,en-US,4.16,60002,641,2021,10903,22733,26798
1441,38,1400043468,"Julia Child, Alex Prud'Homme",2006,My Life in France,My Life in France,eng,4.16,63100,706,1872,10703,26938,27358
1442,60,1922182109,Graeme Simsion,2014,The Rosie Effect,"The Rosie Effect (Don Tillman, #2)",eng,3.56,27308,1191,6636,25126,25659,11235
1443,37,9380658797,Amish Tripathi,2011,The Secret of the Nagas.,The Secret of the Nagas (Shiva Trilogy #2),eng,3.98,50158,586,2413,11661,23263,17131
1444,85,006117758X,Charles Bukowski,1982,Ham on Rye,Ham on Rye,,4.16,54140,641,1897,9576,24523,25106
1445,45,375825444,Wendelin Van Draanen,2001,Flipped,Flipped,en-US,3.94,79264,1175,4843,19570,28606,27512
1446,28,974320625,"Travis Bradberry, Jean Greaves, Patrick Lencioni",2003,Emotional Intelligence 2.0,Emotional Intelligence 2.0,,3.81,53384,2234,3927,13314,17439,17468
1447,62,670035386,Robert McCloskey,1941,Make Way for Ducklings,Make Way for Ducklings,,4.21,70704,1398,2784,11683,19309,36931
1448,98,765354942,"Douglas Preston, Lincoln Child",1995,Relic,"Relic (Pendergast, #1)",eng,4.01,68011,993,3349,15578,27328,26095
1449,63,380727501,Bill Bryson,1995,Notes from a Small Island,Notes from a Small Island,eng,3.91,66947,1073,3717,17241,29024,21366
1450,31,451461894,Jim Butcher,2008,Small Favor,"Small Favor (The Dresden Files, #10)",en-US,4.43,70029,69,419,6473,28646,40646
1451,7,1607060760,Robert Kirkman,2009,The Walking Dead Compendium Volume 1,"The Walking Dead, Compendium 1",eng,4.43,57764,849,1260,5314,15352,35837
1452,50,1599900734,Shannon Hale,2005,Princess Academy,"Princess Academy (Princess Academy, #1)",eng,4.01,82470,1062,3781,18451,34060,30371
1453,86,553496646,"Nicola Yoon, David Yoon",2015,"Everything, Everything","Everything, Everything",eng,4.11,132552,2262,6555,25928,53989,61673
1454,416,486282228,George Bernard Shaw,1912,Pygmalion,Pygmalion,en-US,3.9,70079,895,4044,19262,29217,22185
1455,38,62124269,Barbara Kingsolver,2012,Flight Behavior,Flight Behavior,eng,3.75,57078,1681,5240,16765,25871,16036
1456,31,1590388984,Brandon Mull,2008,Grip of the Shadow Plague,"Grip of the Shadow Plague (Fablehaven, #3)",eng,4.26,65638,1353,1859,8785,21812,33850
1457,141,140298479,Helen Fielding,1999,Bridget Jones: The Edge of Reason,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",eng,3.53,73093,1959,9506,28844,25992,15298
1458,105,067976397X,Louis de Bernières,1994,Captain Corelli's Mandolin,Corelli's Mandolin,eng,3.95,57583,1734,4029,13185,23679,22969
1459,80,446698466,Nicholas Sparks,2004,At First Sight,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)",en-US,3.81,62219,1492,5098,17959,22090,19978
1460,76,767903862,Bill Bryson,2000,Down Under,In a Sunburned Country,eng,4.05,58688,607,2214,12998,28184,22665
1461,639,192123092,Arthur Conan Doyle,1894,The Memoirs of Sherlock Holmes,The Memoirs of Sherlock Holmes,eng,4.32,56918,398,1005,8433,23292,32856
1462,55,812992792,Adam Johnson,2012,The Orphan Master's Son,The Orphan Master's Son,eng,4.06,52765,1671,3341,9883,23007,25504
1463,55,345300785,David Eddings,1984,Enchanters' End Game,"Enchanters' End Game (The Belgariad, #5)",en-US,4.17,69134,677,2478,12604,25188,32085
1464,60,375714839,"Marjane Satrapi, Mattias Ripa, Blake Ferris, Anjali Singh",2003,Persepolis,The Complete Persepolis,en-US,4.36,71353,357,1218,7821,28809,39069
1465,79,449213447,Chaim Potok,1967,The Chosen,The Chosen,eng,4.03,70701,1283,3459,13824,27376,27128
1466,94,451171357,"Irving Stone, שמואל שניצר",1958,The Agony and the Ecstasy: A Biographical Novel of Michelangelo,The Agony and the Ecstasy,eng,4.09,61256,1741,2564,10707,21180,26924
1467,178,385528701,"Carlos Ruiz Zafón, Lucia Graves",2008,El juego del ángel,"The Angel's Game (The Cemetery of Forgotten Books, #2)",eng,3.86,46225,1125,5123,18613,28668,21405
1468,166,786891084,Cecelia Ahern,2004,Where Rainbows End,"Love, Rosie",en-US,3.95,55236,1563,4973,17380,26705,27937
1469,36,64441555,"Peggy Parish, Fritz Siebel",1963,Amelia Bedelia,Amelia Bedelia  (Amelia Bedelia #1),eng,4.15,72329,1342,3136,13872,19635,34899
1470,42,,Jodi Ellen Malpas,2012,This Man,"This Man (This Man, #1)",eng,4.13,79461,3397,4706,12138,22363,42509
1471,77,765326264,W. Bruce Cameron,2010,A Dog's Purpose ,"A Dog's Purpose (A Dog's Purpose, #1)",en-US,4.35,65091,675,1742,8856,23625,40619
1472,71,1595148035,Sabaa Tahir,2015,An Ember in the Ashes,"An Ember in the Ashes (An Ember in the Ashes, #1)",eng,4.32,45492,1316,2448,10085,31685,49448
1473,51,451222725,J.R. Ward,2008,"Lover Enshrined, part one","Lover Enshrined (Black Dagger Brotherhood, #6)",eng,4.12,87432,1130,4648,17757,27856,42014
1474,51,62110837,Helene Wecker,2013,The Golem and the Jinni,"The Golem and the Jinni (The Golem and the Jinni, #1)",eng,4.1,59650,1155,2588,11315,28881,26926
1475,7,,"أحلام مستغانمي, Ahlam Mosteghanemi",2012,الأسود يليق بك,الأسود يليق بك,ara,3.72,42958,3323,5535,11642,13878,17877
1476,50,64410137,"Lemony Snicket, Brett Helquist",2003,The Slippery Slope,"The Slippery Slope (A Series of Unfortunate Events, #10)",en-US,4,81362,926,3956,19412,29849,30110
1477,635,143037617,"Charles Dickens, Nicola Bradbury, Hablot Knight Browne",1853,Bleak House,Bleak House,eng,4,67433,1999,4506,14750,25011,29428
1478,56,64431436,Esphyr Slobodkina,1938,"Caps for sale: a tale of a peddler, some monkeys and their monkey business","Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",eng,4.12,72504,1058,3562,14486,20187,33897
1479,35,044101268X,Jim Butcher,2004,Furies of Calderon ,"Furies of Calderon (Codex Alera, #1)",eng,4.12,70269,1209,2914,12182,27550,30682
1480,14,689878559,Tamora Pierce,1983,Alanna: The First Adventure,"Alanna: The First Adventure (Song of the Lioness, #1)",en-US,4.27,85699,1053,2308,13154,29563,45410
1481,72,224085611,Audrey Niffenegger,2009,Her Fearful Symmetry,Her Fearful Symmetry,en-GB,3.23,63737,4845,13797,28144,22691,9639
1482,24,1439199353,Anita Diamant,2014,The Boston Girl,The Boston Girl,eng,3.79,51603,841,3333,16733,26479,13222
1483,51,451225856,J.R. Ward,2009,"Lover Enshrined, part two","Lover Avenged (Black Dagger Brotherhood, #7)",eng,4.38,84650,498,1841,10764,28245,51166
1484,74,553288202,Dan Simmons,1990,The Fall of Hyperion,"The Fall of Hyperion (Hyperion Cantos, #2)",eng,4.18,63235,675,2454,10805,25016,29861
1485,93,446698873,James Ellroy,1987,The Black Dahlia,"The Black Dahlia (L.A. Quartet, #1)",en-US,3.75,61412,1999,4999,17641,23340,17425
1486,918,688120490,"Lewis Carroll, John Tenniel, Peter Glassman",1871,"Through the Looking-Glass, and What Alice Found There","Through the Looking-Glass, and What Alice Found There",eng,4.06,63050,1030,3785,16105,25471,31275
1487,139,743246985,Jung Chang,1991,Wild Swans: Three Daughters of China,Wild Swans: Three Daughters of China,en-US,4.23,60193,921,1940,9406,23802,31479
1488,36,394800206,P.D. Eastman,1961,"Go, Dog. Go!","Go, Dog. Go!",eng,4.08,66360,1373,4030,13995,16365,31349
1489,87,60885408,"Laura Ingalls Wilder, Garth Williams",1937,,"On the Banks of Plum Creek  (Little House, #4)",,4.19,74666,834,2109,14330,27057,36051
1490,73,1501100130,Stephen King,2015,Finders Keepers,"Finders Keepers (Bill Hodges Trilogy, #2)",eng,4.03,36541,372,1857,12964,30192,19897
1491,104,61558230,"Guillermo del Toro, Chuck Hogan",2009,The Strain,"The Strain (The Strain Trilogy, #1)",en-US,3.77,58631,1771,5200,17428,25548,17859
1492,62,316184136,"Emily Dickinson, Thomas H. Johnson",1890,The Complete Poems of Emily Dickinson,The Complete Poems of Emily Dickinson,eng,4.21,60278,1141,2161,9616,19058,30173
1493,58,60935472,Fred Gipson,1956,Old Yeller,"Old Yeller (Old Yeller, #1)",en-US,4.06,69815,1289,3193,14512,23807,29260
1494,27,1416553649,Steve Martin,2007,Born Standing Up: A Comic's Life,Born Standing Up: A Comic's Life,eng,3.87,60869,1515,3216,15539,25317,18306
1495,7,60899190,Frank Warren,2005,PostSecret: Extraordinary Confessions from Ordinary Lives,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret),,4.01,58841,2911,3039,10287,17389,25753
1496,49,7119550,George R.R. Martin,2000,A Storm of Swords: Part 2 Blood and Gold,"A Storm of Swords: Blood and Gold (A Song of Ice and Fire, #3: Part 2 of 2)",eng,4.56,54977,275,572,4041,17151,42134
1497,90,152047379,"Mary Norton, Beth Krush, Joe Krush",1952,The Borrowers Afield,"The Borrowers (The Borrowers, #1)",,4.02,74820,923,3165,17625,26927,28436
1498,112,340818670,Stephen King,1999,Hearts in Atlantis,Hearts in Atlantis,eng,3.8,65063,1268,5421,19496,24725,19976
1499,46,345544951,Jodi Picoult,2016,,Small Great Things,eng,4.35,73745,1035,2060,9633,33373,51303
1500,146,037571894X,"Haruki Murakami, Alfred Birnbaum",1982,羊をめぐる冒険 [Hitsujiwomegurubōken],"A Wild Sheep Chase (The Rat, #3)",eng,3.94,55262,561,2882,14590,27275,18141
1501,61,743246071,Philippa Gregory,2003,The Queen's Fool,"The Queen's Fool (The Plantagenet and Tudor Novels, #12)",en-US,3.83,69504,859,4137,21150,29517,19180
1502,66,316133973,Laini Taylor,2012,Days of Blood & Starlight,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",en-CA,4.21,85746,1604,3200,13879,34953,45395
1503,31,1842430351,Tom Robbins,1984,Jitterbug Perfume,Jitterbug Perfume,eng,4.24,48277,687,1888,7929,17887,26905
1504,61,399244573,John Flanagan,2006,"The Battle for Skandia (Ranger's Apprentice, #4)","The Battle for Skandia (Ranger's Apprentice, #4)",en-US,4.32,60959,594,1365,8641,21627,34441
1505,41,1423157370,Alexandra Bracken,2012,The Darkest Minds,"The Darkest Minds (The Darkest Minds, #1)",eng,4.26,83886,1380,3193,11844,28768,45587
1506,154,60832819,"Paulo Coelho, Margaret Jull Costa",2005,O Zahir,The Zahir,eng,3.56,50921,2677,6561,16568,16990,13251
1507,116,1416560610,Norman Vincent Peale,1952,The Power of Positive Thinking,The Power of Positive Thinking,eng,4.08,52704,1265,2426,10192,17315,23318
1508,58,1846558913,Ruth Ware,2015,"In a Dark, Dark Wood ","In a Dark, Dark Wood",eng,3.65,67344,1904,6968,26321,32390,16588
1509,602,1844082938,"Edith Wharton, Nina Bawden",1905,The House of Mirth,The House of Mirth,eng,3.94,60611,1731,3912,14142,24545,23384
1510,22,345501330,"Hiro Mashima, William Flanagan",2006,Fairy Tail 1,"Fairy Tail, Vol. 1 (Fairy Tail, #1)",eng,4.4,65477,1092,2055,7476,14494,41177
1511,56,756410436,"Patrick Rothfuss, Nate  Taylor",2014,The Slow Regard of Silent Things,The Slow Regard of Silent Things (The Kingkiller Chronicle #2.5),eng,3.92,57716,2506,5300,14205,22248,26391
1512,749,,Solomon Northup,1853,Twelve Years a Slave,Twelve Years a Slave,eng,4.15,39758,1035,2266,10046,23893,27654
1513,46,451229851,J.R. Ward,2010,"Lover Avenged, part one","Lover Mine (Black Dagger Brotherhood, #8)",eng,4.41,82824,616,1846,9925,25598,52094
1514,86,141001828,Nathaniel Philbrick,1999,In the Heart of the Sea: The Tragedy of the Whaleship Essex,In the Heart of the Sea: The Tragedy of the Whaleship Essex,en-US,4.16,57259,743,1672,9369,24755,24606
1515,57,743289684,Ayaan Hirsi Ali,2006,Infidel,Infidel,eng,4.2,58432,1168,1891,8759,22116,28228
1516,103,1400063515,Nassim Nicholas Taleb,2007,The Black Swan: The Impact of the Highly Improbable,The Black Swan: The Impact of the Highly Improbable,eng,3.88,53586,1861,4036,12599,20887,19383
1517,75,345504984,Justin Cronin,2012,The Twelve,"The Twelve (The Passage, #2)",eng,3.98,56756,660,2845,14411,28633,21058
1518,264,374529523,"Aleksandr Solzhenitsyn, H.T. Willetts",1962,Один день Ивана Денисовича,One Day in the Life of Ivan Denisovich,eng,3.94,61678,1147,3666,16109,28201,22915
1519,58,553380966,Neal Stephenson,1995,The Diamond Age,"The Diamond Age: or, A Young Lady's Illustrated Primer",eng,4.19,61836,602,2255,10287,24102,29375
1520,118,60892994,Walter M. Miller Jr.,1959,A Canticle for Leibowitz,A Canticle for Leibowitz,eng,3.97,66721,1579,4264,14698,25329,26118
1521,423,1580493882,"Sophocles, J.E. Thomas",-441,Ἀντιγόνη,"Antigone (The Theban Plays, #3)",eng,3.6,67608,1881,8279,25895,25697,16783
1522,86,1439138311,Colm Tóibín,2009,Brooklyn,Brooklyn,eng,3.63,55459,1042,5940,21904,27255,11681
1523,44,1442409053,Lauren DeStefano,2011,Wither,"Wither (The Chemical Garden, #1)",eng,3.81,84776,3105,7449,20924,28676,28503
1524,30,62300547,J.D. Vance,2016,Hillbilly Elegy. A Memoir of a Family and Culture in Crisis,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,eng,3.99,80737,1429,4680,21299,44927,33435
1525,55,312864590,Robert Jordan,2003,Crossroads of Twilight,"Crossroads of Twilight (Wheel of Time, #10)",en-US,3.82,61361,2097,5975,16531,21644,22232
1526,800,1580495869,Stephen Crane,1871,The Red Badge of Courage,The Red Badge of Courage,eng,3.21,68448,6036,12395,26446,20066,10032
1527,59,544272994,Randall Munroe,2014,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,eng,4.17,60236,1387,2708,10945,24313,32476
1528,64,765348780,Steven Erikson,1999,Gardens of the Moon,"Gardens of the Moon (The Malazan Book of the Fallen, #1)",eng,3.85,57993,2616,4780,13280,22849,21129
1529,133,7251866,Paulo Coelho,2006,A Bruxa de Portobello,The Witch Of Portobello,eng,3.51,51461,2660,7458,18085,17116,12755
1530,20,440401585,Madeleine L'Engle,1978,A Swiftly Tilting Planet,"A Swiftly Tilting Planet (A Wrinkle in Time Quintet, #3)",eng,4.13,75851,891,2666,15130,28633,33598
1531,75,043977134X,Suzanne Collins,2003,Gregor the Overlander,"Gregor the Overlander (Underland Chronicles, #1)",eng,3.99,66823,1705,3653,14937,25516,26675
1532,52,1439102724,Jodi Picoult,2011,Sing You Home,Sing You Home,en-US,3.76,62494,1770,5345,18571,24791,17870
1533,65,345419634,Anne Rice,1992,The Tale of the Body Thief,"The Tale of the Body Thief (The Vampire Chronicles, #4)",en-US,3.7,67267,1427,6552,22211,23262,18316
1534,90,446615625,David Baldacci,2005,The Camel Club,"The Camel Club (Camel Club, #1)",eng,4.02,58973,886,2571,12705,25005,21973
1535,73,316155608,James Patterson,2006,Saving The World and Other Extreme Sports,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",en-US,4.16,75436,1081,3410,14312,24389,36922
1536,57,812551478,Terry Goodkind,1996,Blood of the Fold,"Blood of the Fold (Sword of Truth, #3)",en-US,3.98,60624,1009,3226,14259,23434,22725
1537,76,743272501,Philippa Gregory,2006,The Boleyn Inheritance,"The Boleyn Inheritance (The Plantagenet and Tudor Novels, #10)",eng,3.84,62135,506,3336,20312,29721,17195
1538,47,385683421,Anne Tyler,2015,A Spool of Blue Thread,A Spool of Blue Thread,eng,3.4,42339,2302,7578,21930,20780,7744
1539,48,385542364,Colson Whitehead,2016,The Underground Railroad,The Underground Railroad,eng,4.04,72052,1259,3885,16777,38456,31719
1540,39,786838930,Melissa de la Cruz,2007,Masquerade,"Masquerade (Blue Bloods, #2)",en-US,3.91,76598,1493,5298,19716,25177,27989
1541,35,373210183,Julie Kagawa,2011,The Iron Queen,"The Iron Queen (The Iron Fey, #3)",eng,4.24,82373,1217,2819,12701,25786,42608
1542,41,988393506,Cora Carmack,2012,Losing It,"Losing It (Losing It, #1)",eng,3.77,84438,2396,7028,24581,32744,24526
1543,87,385535144,John Grisham,2012,The Racketeer,The Racketeer,,3.79,48286,939,4252,18459,27477,15518
1544,126,143036378,J.M. Coetzee,1999,Disgrace,Disgrace,eng,3.83,50422,1369,4284,14721,25122,16891
1545,146,525444440,"A.A. Milne, Ernest H. Shepard",1928,The House at Pooh Corner,"The House at Pooh Corner (Winnie-the-Pooh, #2)",en-US,4.36,69102,689,1444,9318,20394,39693
1546,42,316075558,Brent Weeks,2010,The Black Prism,"The Black Prism (Lightbringer, #1)",en-US,4.24,58906,827,2039,8245,24370,30392
1547,48,143036696,Sue Monk Kidd,2004,The Mermaid Chair,The Mermaid Chair,eng,3.1,62760,4807,13288,24684,16305,6612
1548,49,64440206,Arnold Lobel,1970,Frog and Toad Are Friends,"Frog and Toad Are Friends (Frog and Toad, #1)",eng,4.18,70119,1041,2915,12966,19278,34505
1549,56,64410129,"Lemony Snicket, Brett Helquist",2002,The Carnivorous Carnival,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)",en-US,3.97,83981,942,4280,21100,31005,29567
1550,42,1423116399,Ally Carter,2010,Heist Society,"Heist Society (Heist Society, #1)",en-US,3.91,75834,2617,5001,16839,25668,28024
1551,62,1250121000,B.A. Paris,2016,Behind Closed Doors,Behind Closed Doors,eng,3.93,57865,2944,6308,20514,37908,35177
1552,64,345348109,Michael Shaara,1974,The Killer Angels,"The Killer Angels (The Civil War Trilogy, #2)",en-US,4.3,58372,715,1727,7747,20361,32231
1553,51,425201392,Laurell K. Hamilton,1995,"Circus of the Damned (Anita Blake, Vampire Hunter, #3)","Circus of the Damned (Anita Blake, Vampire Hunter, #3)",en-US,4.16,73883,780,2522,14606,27469,35077
1554,70,786818611,Jonathan Stroud,2006,Ptolemy's Gate,"Ptolemy's Gate (Bartimaeus, #3)",eng,4.24,63838,959,1972,9826,22917,33159
1555,680,553214322,H.G. Wells,1896,The Island of Dr. Moreau,The Island of Dr. Moreau,eng,3.72,60346,897,5007,22375,27122,15162
1556,42,1620610094,Jennifer L. Armentrout,2012,Opal,"Opal (Lux, #3)",,4.34,92014,1079,2588,11790,28917,53694
1557,54,1934781630,Dave Eggers,2008,Zeitoun,Zeitoun,,4.08,55398,760,2129,10245,25365,21637
1558,41,141697170X,Sharon M. Draper,2010,Out of My Mind,Out of My Mind,en-US,4.37,63756,547,1483,7956,21472,38115
